is,يكون,е,je,és,je,er,Ist,είναι,is ,estas,es,on,da,است,On,est,é,הוא,je,az,է լինել,adalah,er,È,は,არის,болды,~이다,È,ir,е,adalah,is,er,Jest,é,é,este,является,je,je,është,јесте,är,เป็น,ay,dır-dir,ہے,là
in,في,в,u,dins de,v,i,In,σε,in ,en,en,sisse,-an,که در,sisään,dans,en,ב,u,ban ben,մեջ,di dalam,In,In,の,-ში,-да,~에,In,iekšā,во,dalam,in,i,W,em,em,în,в,v,v,në,у,i,ใน,sa,içinde,میں,TRONG
wat,ماذا,Какво,šta,què,co,hvad,Was,τι,what ,kio,qué,mida,zer,چی,mitä,quoi,que,מה,što,mit,ինչ,Apa,hvað,Che cosa,何,რა,не,무엇,Che cosa,kas,што,apa,Wat,hva,Co,o que,o que,ce,что,čo,kaj,çfarë,Шта,Vad,อะไร,Ano,Ne,کیا,Gì
ons,نحن,Ние,mi,nosaltres,my,vi,Wir,εμείς,we ,ni,nosotros,meie,gu,ما,me,nous,nós,אָנוּ,mi,mi,մենք,Kami,við,Noi,私たち,ჩვენ,біз,우리,Noi,mēs,ние,kita,Wij,vi,My,nós,nós,noi,мы,my,mi,ne,ми,vi,เรา,Kami,Biz,ہم,chúng tôi
my,أنا,аз,ja,me,mě,mig,Mich,μου,me ,mi,a mí,mina,niri,من,minä,moi,eu,לִי,mi,nekem,ես,Saya,ég,Me,自分,მე,мені,나,Me,es,Јас,saya,mij,meg,Ja,meu,meu,pe mine,мне,ja,jaz,mua,ја,mig,ฉัน,Ako,Ben,میں,Tôi
hierdie,هذا,това,ovo,aquest,tento,det her,Das,Αυτό,this ,ĉi tio,este,see,hau,این,Tämä,ce,isto,זֶה,ovaj,ez,սա,ini,þetta,Questo,これ,ეს,осы,이것,Questo,šis,ова,ini,dit,dette,Ten,esse,esse,acest,этот,tak,to,kjo,ово,detta,นี้,ito,Bu,یہ,cái này
hy,هو,той,on,ell,on,han,Er,αυτός,he ,li,él,ta,hura,او,hän,il,El,הוא,on,ő,նա,Dia,hann,Lui,彼,ის,ол,그,Lui,viņš,тој,Dia,Hij,han,On,ele,ele,el,он,on,on,ai,он,han,เขา,siya,O,وہ,Anh ta
vir,ل,за,za,a favor de,pro,til,für,Για,for ,por,para,jaoks,-entzat,برای,puolesta,pour,para,ל,za,-ra,համար,untuk,fyrir,per,ために,-თვის,үшін,~을 위한,per,priekš,за,untuk,voor,til,Do,para,para,pentru,для,pre,za,për,за,för,สำหรับ,para sa,için,کے لئے,vì
my,لي,мой,moj,meus,můj,min,Mein,μου,my ,mia,mi,minu,nire,من,minun,mon,meu,שֶׁלִי,moj,az én,իմ,-ku,mín,Mio,私の,ჩემი,менің,나의,Mio,mans,Мојот,saya,Mijn,min,Mój,meu,meu,Ale mele,мой,môj,moj,tim,мој,min,ของฉัน,my,Benim,میرا,Của tôi
op,على,На,na,al damunt de,na,på,An,επί,on ,ON,en,peal,-en gainean,بر,päällä,sur,sobre,עַל,na,tovább,վրա,pada,Á,SU,の上,-ზე,ішінде,~에,SU,uz,на,pada,op,på,NA,sobre,sobre,pe,на,na,naprej,në,на,på,บน,sa,Açık,پر,TRÊN
hê,يملك,има,imati,tenir,mít,har,haben,έχω,have ,havas,tener,omama,eduki,دارند,omistaa,ont,ter,יש,imati,van,ունենալ,memiliki,hafa,Avere,もつ,ყოლა,бар,가지다,Avere,ir,имаат,mempunyai,hebben,ha,Posiadać,ter,ter,avea,иметь,mať,imeti,kam,имати,ha,มี,mayroon,sahip olmak,ہے,có
jou,لك,Вашият,tvoj,el seu,vaše,din,dein,τα δικα σου,your ,viaj,su,sinu oma,zure,خود شما,-si,ton,o teu,שֶׁלְךָ,vaš,a te,քո,milikmu,þitt,tuo,あなたの,შენი,Сіздің,당신의,tuo,jūsu,Твое,anda,jouw,din,twój,seu,seu,ta,твой,váš,tvoj,juaj,твој,din,ของคุณ,iyong,senin,آپ کا,của bạn
doen,يفعل,направете,učiniti,fer,dělat,Gør,Tun,κάνω,do ,fari,hacer,tegema,egin,انجام دادن,tehdä,faire,facer,לַעֲשׂוֹת,čini,csinál,անելանելի,Mengerjakan,Gerðu,Fare,する,კეთება,істеу,하다,Fare,darīt,направи,lakukan,Doen,gjøre,Do,fazer,fazer,do,делать,robiť,naredi,bëj,урадите,do,ทำ,gawin,Yapmak,کیا,LÀM
was,كان,беше,bio,era,byl,var,War,ήταν,was ,estis,era,oli,zen zen,بود,was,était,era,היה,bio je,volt,էր,dulu,var,era,だった,იყო,істеу,~였다,era,bija,беше,adalah,was,var,był,era,era,a fost,был,bol,je bil,ishte,био,var,เคยเป็น,ay,olmuş,تھا,đã từng là
geen,لا,не,ne,no,Ne,ingen,NEIN,όχι,no ,Ne,No,mitte,ez-,هیچ,ei,Non,non,לא,Ne,nem,ոչ,TIDAK,Nei,NO,いいえ,არა,жоқ,아니요,NO,Nē,Не,tidak,Nee,Nei,NIE,não,não,Nu,нет,nie,ne,jo,не,Nej,เลขที่,hindi,HAYIR,نہیں,KHÔNG
nie,لا,не,ne,no,ne,ikke,nicht,δεν,not ,ne,no,mitte,ez,نه,ei,pas,non,לֹא,ne,nem,ոչ,bukan,Ekki,non,いいえ,არა,жоқ,~ 아니다,non,ne,не,tidak,niet,ikke,nie,não,não,nu,нет,nie,ne,jo,не,inte,ไม่,hindi,Olumsuz,نہیں,không
wees,يكون,бъда,biti,ser,být,være,Sei,είναι,be ,esti,ser,olema,izan,بودن,olla,être,estar,לִהיוֹת,biti,lenni,լինել,menjadi,vera,Essere,なれ,ყოფნა,болуы,BE,Essere,būt,биди,menjadi,zijn,være,Być,ser,ser,fi,быть,byť,biti,jam,бити,vara,เป็น,maging,olmak,بنے,là
is,نكون,са,su,són,jsou,er,Sind,είναι,are ,estas,son,olema,arrazoi dira,هستند,are,sont,son,הם,jesu,vannak,են,adalah,eru,Sono,それは,არიან,па,~이다,Sono,ir,се,adalah,Zijn,er,Czy,são,são,sunt,являются,byť,so,jam,су,are,เป็น,ay,var olan,ہیں,là
skenk,اِتَّشَح,Дон,don,no,Don,Don,anziehen,κύριος,don ,surmeti,don,don,ezon eman,دانستن,ei,enfiler,Don,דוֹן,Don,Don,դոն,mengenakan,Don,assistente,ドン,წონა,дон,두목,assistente,Dons,не,Don,maffiabaas,Don,przywdziewać,vestir,vestir,don,дон,dláždiť,DON,don,дон,don,สวมใส่,don,giymek,ڈان,giảng viên đại học
Re,يكرر,Re,ponovo,re,re,re,Betreff,σχετικά με,re ,re,re,re,berriro,دوباره,keksin,concernant,re,מִחָדָשׁ,ponovno,újra,նորից,ulang,Re,Rif,再,Re,қайта,답장,Rif,pārplānot,повторно,Re,met betrekking tot,re,Odnośnie,ré,ré,re,репутация,rekrea,oferi,ri,ре,re,อีกครั้ง,RE,tekrar,جواب,nốt Rê
weet,يعرف,зная,znati,saber,vědět,ved godt,wissen,ξέρω,know ,sciu,saber,teadma,jakin,دانستن,tietää,savoir,saber,לָדַעַת,znati,tud,իմանալ,tahu,veit,Sapere,知る,ვიცი,білу,알다 ,Sapere,zināt,Знајте,tahu,weten,vet,wiedzieć,saber,saber,Cunoaște,знать,poznať,vem,njoh,знати,känna till,ทราบ,alamin,Bilmek,جانتے ہو,biết
blik,يستطيع,мога,može,llauna,umět,kan,dürfen,μπορώ,can ,povas,poder,punkt,ahal izan,می توان,tölkki,peut,lata,פחית,limenka,tud,կարող,Bisa,dós,Potere,できる,კანდიდატი,консерв қалбыры,~할 수 있다,Potere,varenēties,може,boleh,kan,kan,Móc,pode,pode,poate sa,может,môcť,pločevinka,kam,моћи,burk,สามารถ,maaari,olabilmek,کر سکتے ہیں,Có thể
met,مع,с,sa,amb,s,med,mit,με,with ,kun,con,koos,-rekin,با,kanssa,avec,con,עם,s,val vel,հետ,dengan,með,con,と,-ით,бірге,~와 함께,con,ar,со,dengan,met,med,z,com,com,cu,с,s,z,për,са,med,กับ,kasama,ile,کے ساتھ,với
maar,لكن,но,ali,però,ale,men,Aber,αλλά,but ,Sed,pero,aga,baina,ولی,mutta,mais,Pero,אבל,ali,de,բայց,Tetapi,En,Ma,しかし,მაგრამ,бірақ,하지만,Ma,bet,Но,tetapi,Maar,men,Ale,mas,mas,dar,но,ale,ampak,por,али,men,แต่,ngunit,Ancak,لیکن,Nhưng
almal,الجميع,всичко,sve,totes,Všechno,alle,alle,όλα,all ,ĉio,todo,kõik,guzti,همه,kaikki,tous,todo,את כל,svi,minden,բոլորը,semua,allt,Tutto,全て,ყველა,барлық,모두,Tutto,viss,сите,semua,alle,alle,Wszystko,todos,todos,toate,все,všetko,vse,të gjithë,све,Allt,ทั้งหมด,lahat,Tümü,سب,tất cả
so,لذا,така,tako,tan,tak,så,So,Έτσι,so ,Do,entonces,nii,hain,بنابراین,niin,donc,Entón,כך,tako,így,այսպես,Jadi,Svo,COSÌ,それで,ისე,солай,그래서,COSÌ,tik,Значи,Jadi,Dus,så,Więc,então,então,asa de,так,tak,tako,kështu që,тако,så,ดังนั้น,kaya,Bu yüzden,تو,Vì thế
net,فقط,просто,samo,just,prostě,lige,Nur,μόλις,just ,Nur,justo,õiglane,zuzen,عادلانه,vain,juste,Xusto,רַק,samo,éppen,ճիշտ,hanya,bara,Appena,ただ,უბრალოდ,жай,단지,Appena,tikai,само,Hanya,zojuist,bare,Tylko,apenas,apenas,doar,только,pravidelný,samo,pikërisht,само,bara,แค่,Basta,Sadece,صرف,chỉ
daar,هناك,там,tamo,allà,tam,der,Dort,εκεί,there ,tie,allá,seal,han,آنجا,siellä,là,alí,שם,tamo,ott,այնտեղ,di sana,þar,Là,そこには,იქ,Ана жерде,거기,Là,tur,Таму,di sana,daar,der,Tam,lá,lá,Acolo,там,tam,tam,aty,тамо,där,ที่นั่น,doon,Orası,وہاں,ở đó
hier,هنا,тук,ovdje,aquí,tady,her,Hier,εδώ,here ,ĉi tie,aquí,siin,asko,اینجا,tässä,ici,aquí,כאן,ovdje,itt,այստեղ,Di Sini,hér,Qui,ここ,აქ,Мұнда,여기,Qui,šeit,Еве,di sini,hier,her,Tutaj,aqui,aqui,Aici,здесь,tu,tukaj,këtu,овде,här,ที่นี่,dito,Burada,یہاں,đây
hulle,هم,те,oni,ells,ony,de,Sie,αυτοί,they ,ili,ellos,nemad,haiek,آنها,ne,ils,eles,הֵם,oni,ők,նրանք,mereka,Þeir,Essi,彼ら,ისინი,олар,그들,Essi,viņi,тие,mereka,zij,de,Oni,eles,eles,ei,они,oni,oni,ata,они,de,พวกเขา,Sila,Onlar,وہ,họ
soos,يحب,като,poput,M'agrada,jako,synes godt om,wie,αρέσει,like ,Ŝati,como,nagu,gustatu,پسندیدن,Kuten,comme,como,כמו,Kao,mint,հավանել,menyukai,eins og,Piace,好き,როგორც,сияқты,좋다,Piace,"piemēram,",допаѓа,Seperti,leuk vinden,som,tak jak,como,como,ca,нравиться,Páči sa mi to,kot,si,као,tycka om,ชอบ,gaya ng,beğenmek,جیسے,giống
kry,يحصل,Вземете,dobiti,aconseguir,dostat,få,erhalten,παίρνω,get ,Akiru,conseguir,saama,lortu,گرفتن,saada,obtenir,conseguir,לקבל,dobiti,kap,հասնել,mendapatkan,Fáðu,Ottenere,得る,მიღება,алу,얻다,Ottenere,gūt,Земи,Dapatkan,krijgen,få,Dostawać,pegar,pegar,obține,получать,dostať,dobi,marr,добити,skaffa sig,รับ,kumuha,elde etmek,حاصل کریں,lấy
sy,هي,тя,ona,ella,ona,hun,sie,αυτή,she ,Ŝi,ella,ta,hura,او,hän,elle,ela,היא,ona,ő,նա,dia,hún,Lei,彼女,ის,ол,그녀,Lei,viņa,таа,dia,zij,hun,ona,ela,ela,ea,она,on,ona,ajo,она,hon,เธอ,siya,o,وہ,cô ấy
gaan,يذهب,отивам,ići,caminar,jít,gå,gehen,πηγαίνω,go ,Iru,ir,käik,bidaiatu,رفتن,mennä,aller,Vaia,ללכת,ići,megy,գնալ,pergi,farðu,andare,行く,წასვლა,беру,가다,andare,iet,Оди,Pergi,gaan,gå,Iść,ir,ir,merge,идти,ísť,pojdi,shkoj,ићи,gå,ไป,Pumunta ka na,Gitmek,جاؤ,đi
as,لو,ако,ako,si,-li,hvis,Wenn,αν,if ,Se,si,kui,baldin ba ...,ازت,jos,si,Se,אם,ako,ha,եթե,jika,Ef,Se,もしも,თუ,егер,만약에,Se,ja,Ако,jika,als,hvis,Jeśli,se,se,dacă,если,či,če,nëse,ако,om,ถ้า,kung,eğer,اگر,nếu như
regs,يمين,Точно,pravo,dret,že jo,højre,Rechts,σωστά,right ,Ĝuste,bien,paremale,zuzen,درست,oikea,droite,dereita,ימין,pravo,jobb,ճիշտ,Kanan,ekki satt,Giusto,右,სწორი,дұрыс,오른쪽,Giusto,pa labi,десно,betul,rechts,Ikke sant,Prawidłowy,certo,certo,dreapta,верно,správny,prav,i drejtë,јел тако,höger,ขวา,tama,Sağ,دائیں,Phải
buite,خارج,навън,vani,a fora,ven,ud,aus,έξω,out ,Eksteren,afuera,väljas,kanpo,خارج,ulkona,dehors,fóra,הַחוּצָה,van,ki,դուրս,keluar,út,fuori,外,გარეთ,тыста,밖으로,fuori,ārpusē,надвор,keluar,uit,ute,na zewnątrz,fora,fora,afară,вне,von,zunaj,jashtë,излази,ut,ออก,Palabas,dışarı,باہر,ngoài
rondom,عن,относно,o,Sobre,o,om,um,σχετικά με,about ,pri,acerca de,ümber,ei buruz,در باره,noin,à propos,Acerca de,על אודות,oko,ról ről,մասին,tentang,um,Di,だいたい,გარშემო,жөнінде,~에 대한,Di,apmēram,за,mengenai,over,Om,o,sobre,sobre,despre,о,o,približno,për,О томе,handla om,เกี่ยวกับ,tungkol sa,hakkında,کے بارے میں,Về
opwaarts,أعلى,нагоре,gore,cap amunt,nahoru,op,hoch,πάνω,up ,Supren,arriba,üles,gora,بالا,ylöspäin,en haut,arriba,לְמַעלָה,gore,fel,վեր,ke atas,upp,su,上,ზევით,бойымен,위로,su,augšup,горе,naik,omhoog,opp,w górę,acima,acima,sus,вверх,nahor,gor,në krye,уп,upp,ขึ้น,pataas,yukarı,اوپر,hướng lên
by,في,в,u,a,na,på,bei,στο,at ,ĉe,en,juures,-an,در,at,à,AT,בְּ-,na,nál nél,մոտ,pada,At,A,で,-ზე,-та,~에,A,pie,на,pada,bij,på,Na,no,no,la,в,pri,ob,ndaj,у,på,ที่,sa,-den,پر,Tại
hy,له,него,njega,li,mu,Hej M,ihn,αυτόν,him ,lin,a él,tema,hura,به او,hänelle,lui,el,אוֹתוֹ,mu,neki,նրան,dia,hann,lui,彼,მას,оған,그를,lui,viņu,него,dia,hem,ham,jego,ele,ele,-l,ему,jeho,njega,ai,њега,honom,เขา,Siya,o,اسے,anh ta
nou,الآن,сега,sad,ara,Nyní,nu,Jetzt,τώρα,now ,nun,ahora,nüüd,orain,اکنون,nyt,maintenant,agora,עַכשָׁיו,sada,Most,այժմ,Sekarang,Nú,Ora,今,ახლა,қазір,지금,Ora,tagad,Сега,Sekarang,nu,nå,Teraz,agora,agora,acum,сейчас,teraz,zdaj,tani,Сада,nu,ตอนนี้,Ngayon,Şimdi,ابھی,Hiện nay
een,واحد,един,jedan,u,jeden,en,eins,ένας,one ,unu,uno,üks,bat,یکی,yksi,un,un,אחד,jedan,egy,մեկ,satu,eitt,uno,一,ერთი,бір,하나,uno,viens,Еден,satu,een,en,jeden,um,um,unu,один,jeden,ena,një,један,ett,หนึ่ง,isa,bir,ایک,một
kom,يأتي,идвам,dođi,arrivar,Přijít,komme,kommen,Έλα,come ,Venu,venir,tulek tulema,etorri,بیا,tulla,venir,veña,לבוא,doći,jön,գալ,datang,koma,Venire,来て,მოსვლა,келу,오다,Venire,nākt,Дојди,Datang,komen,komme,przychodzić,vir,vir,vino,приходить,prichádzať,pridi,vij,доћи,komma,มา,Halika,Gelmek,آو,đến
put,حسنًا,добре,dobro,bé,studna,godt,Also,Καλά,well ,Nu,Bueno,hästi,ondo,خوب,hyvin,Bien,ben,נו,dobro,jól,լավ,Sehat,Jæja,BENE,良い,კარგად,құдық,잘,BENE,labi,Па,baik,Goed,vi vil,Dobrze,bem,bem,bine,хорошо,úhľadný,no,mirë,добро,väl,ดี,mabuti,Peki,ٹھیک ہے,Tốt
haar,ها,тя,ona,la,její,hende,ihr,αυτήν,her ,ŝia,su,tema,hura,او,hänen,son,ela,שֶׁלָה,nju,neki,նրա,dia,henni,suo,彼女,მისი,соның,그녀의,suo,viņas,Нејзината,dia,haar,henne,jej,dela,dela,a ei,ее,jej,ona,ajo,њеној,henne,ของเธอ,siya,o,اس کا,cô ấy
hoe,كيف,Как,kako,com,jak,hvordan,Wie,πως,how ,Kiel,cómo,kuidas,nola,چگونه,Miten,comment,Como,אֵיך,kako,hogyan,ինչպես,Bagaimana,hvernig,Come,どうやって,როგორ,Қалай,어떻게,Come,kā,Како,bagaimana,Hoe,hvordan,Jak,como,como,Cum,как,ako,kako,si,како,hur,ยังไง,paano,Nasıl,کیسے,Làm sao
ja,نعم,Да,da,Sí,to jo,Ja,Ja,ναι,yeah ,Jes,sí,jah,ye you,بله,Joo,Ouais,Si,כֵּן,Da,igen,Այո,Ya,já,Sì,うん,ჰო,Иә,응,Sì,jā,Да,Yeah,Ja,Ja,Tak,sim,sim,Da,ага,jo,ja,po,да,ja,ใช่,oo,Evet,ہاں,vâng
Ve,ve,Ве,ve,v,Ve,VE,ve,ευσπείνω,ve ,VE,ver,ve,ehi,با هم,olla,ve,ve,ve,VE,ve,որես,ve,ve,ve,ve,ვე,мен,ve,ve,vest,ве,ve,vele,ve,ve,ve,ve,ve.,вежливый,VE,ve,gocë,венчање,ve,เครื่อง,ve,Vezik,وی,đã
begeerte,سوف,ще,volja,voluntat,vůle,vilje,Wille,θα,will ,Volo,voluntad,tahe,nahimen,اراده,tahtoa,sera,vontade,רָצוֹן,htjeti,akarat,կուտակել,akan,mun,Volere,意思,ანდერძი,өсиет,~ 할 것이다,Volere,griba,волја,akan,zullen,vil,będzie,vai,vai,voi,воля,vôľa,volja,do,воља,kommer,จะ,Will,irade,مرضی,sẽ
gekry,يملك,има,dobio,aconseguir,mám,fik,bekommen,πήρα,got ,akiris,consiguió,saanud,lortu ditut,بدست آورد,saada,a obtenu,ten,יש,dobiti,kapott,ստացվեց,telah mendapatkan,Fékk,avuto,手に入れた,GOT,ие болды,갖다,avuto,iegūt,Доби,Ada,gekregen,har,dostał,pegou,pegou,a primit,получил,mať,dobil,mora,пре,get,ได้รับ,nakuha,var,مل گیا,lấy 
gebrek,يريد,искам,željeti,voler,chci,vil have,wollen,θέλω,want ,volas,desear,tahtmine,gabezia,خواستن,haluta,vouloir,querer,רוצה,želja,akar,ցանկանալ,ingin,vil,Volere,欲しい,გაჭირვება,мұқтаждық,원하다,Volere,gribēt,сака,mahu,wil,Ønsker,chcieć,querer,querer,vrei,хотеть,chcieť,hočem,dua,жен,vilja,ต้องการ,gusto,istek,چاہتے ہیں,muốn
dink,يفكر,мисля,razmisliti,pensar,myslet si,tænke,denken,νομίζω,think ,Pensu,pensar,mõtlema,pentsatu,فکر,ajatella,penser,pensa,לַחשׁוֹב,razmišljati,gondol,մտածել,memikirkan,Hugsaðu,pensare,考え,ფიქრი,ойлау,생각하다,pensare,domāt,Размислете,Fikirkan,denken,synes at,myśleć,pensar,pensar,gândi,думать,myslieť si,mislijo,mendoj,размислити,tror,คิด,Mag -isip,düşünmek,سوچو,nghĩ
as,مثل,като,kao,com,tak jako,som,als,όπως και,as ,kiel,como,kui,hainbeste,مانند,kuten,comme,como,כפי ש,kao,mint,որպես,sebagai,Eins,COME,として,როგორც,қалай,~처럼,COME,kā,како,sebagai,als,som,Jak,como,como,la fel de,как,ako,kot,si,као,som,เช่น,bilang,gibi,جیسا کہ,BẰNG
sien,يرى,виж,vidjeti,veure,vidět,se,sehen,βλέπω,see ,Vidu,ver,nägema,ikusi,دیدن,nähdä,voir,Ver,לִרְאוֹת,vidjeti,lát,տեսնել,melihat,Sjá,Vedere,見る,ნახვა,көру,보다,Vedere,redzēt,Погледнете,Lihat,zien,se,Widzieć,ver,ver,vedea,видеть,pozrieť sa,glej,Shiko,видети,ser,ดู,Kita n'yo,Görmek,دیکھو,nhìn thấy
gedoen,فعل,Направих,jesio,va fer,dělal,gjorde,tat,διεφέρα,did ,faris,hizo,teinud,zendu,انجام داد,tehdä,a fait,fixo,כן,učiniti,csinált,կարեվոր,telah melakukan,gerði,fatto,した,გაკეთებული,істеу,했다,fatto,darīja,правеше,Adakah,deed,Gjorde,zrobił,fez,fez,făcut,делал,uplatniť,je,e bërë,пре,gjorde,ทำ,ginawa,yaptı,کیا,làm
goed,جيد,добре,dobro,bona,dobrý,godt,Gut,Καλός,good ,Bona,bien,hea,on,خوب,hyvä,bien,bo,טוֹב,dobro,jó,լավ,Bagus,góður,Bene,良い,კარგი,жақсы,좋은,Bene,labs,добро,baik,Goed,flink,Dobry,bom,bom,bun,хороший,dobrý,dobro,i mirë,Добро,Bra,ดี,Mabuti,iyi,اچھی,Tốt
WHO,من,СЗО,SZO,OMS,SZO,WHO,WHO,ΠΟΥ,who ,Monda Organizaĵo pri Sano,OMS,WHO,MOE,سازمان بهداشت جهانی,WHO,OMS,OMS,WHO,WHO,WHO,ԱՀԿ,WHO,WHO,Chi,WHO,ჯანმო,ДДСҰ,WHO,Chi,PVO,СЗО,WHO,WHO,WHO,Kto,Quem,Quem,OMS,ВОЗ,SZO,WHO,OBSH,СЗО,WHO,WHO,WHO,DSÖ,ڈبلیو ایچ او,Ai
hoekom,لماذا,защо,zašto,Per què,proč,hvorfor,Warum,Γιατί,why ,Kial,por qué,miks,zergatik,چرا,miksi,pourquoi,Por que,למה,zašto,miért,ինչու,Mengapa,Af hverju,Perché,なぜ,რატომ,неге,왜,Perché,kāpēc,Зошто,Kenapa,Waarom,Hvorfor,Dlaczego,por que,por que,De ce,почему,dôvod,Zakaj,pse,зашто,Varför,ทำไม,bakit,Neden,کیوں؟,Tại sao
van,من,от,iz,des de,z,fra,aus,από,from ,de,de,-lt,-tik,از جانب,-sta,depuis,de,מ,iz,tól től,դեպի,dari,Frá,da,から,-გან,-ден,~에서,da,no,од,dari,van,fra,z,de,de,din,от,od,od,nga,од,från,จาก,mula sa,itibaren,سے,từ
verhuur,يترك,позволявам,pustiti,deixar,nechat,lade,lassen,αφήνω,let ,lasu,dejar,lasta,utzi,اجازه دهید,antaa,laisser,Let,לתת,pustiti,enged,թույլ տալ,membiarkan,Láttu,permettere,させて,გაშვება,рұқсат ету,허락하다,permettere,ļaut,нека,Biarkan,laten,la,pozwalać,deixar,deixar,lăsa,позволять,nechať,pustiti,lejoj,дозволити,låta,อนุญาต,Hayaan,izin vermek,دو,cho phép
sy,له,Неговия,njegova,seva,jeho,hans,sein,του,his ,lia,su,tema,haren,خود,hänen,son,o seu,שֶׁלוֹ,njegov,övé,նրա,miliknya,hans,il suo,彼の,მისი,оның,그의,il suo,savs,Неговиот,dia,zijn,hans,jego,dele,dele,a lui,его,jeho,njegov,të tijat,његов,hans,ของเขา,kanyang,onun,اس کا,của anh ấy
ja,نعم,Да,da,sí,Ano,Ja,Ja,Ναί,yes ,Jes,Sí,jah,bai,آره,Joo,Oui,Si,כן,Da,Igen,այո,Ya,Já,SÌ,はい,დიახ,иә,예,SÌ,Jā,Да,Ya,Ja,ja,Tak,sim,sim,da,да,Áno,DA,po,да,ja,ใช่,Oo,Evet,جی ہاں,Đúng
wanneer,متى,кога,kada,Quan,když,hvornår,Wenn,πότε,when ,kiam,cuando,millal,noiz,چه زمانی,kun,quand,cando,מתי,kada,amikor,երբ,Kapan,hvenær,Quando,いつ,როდესაც,қашан,언제,Quando,kad,кога,bila,wanneer,når,Kiedy,quando,quando,când,когда,kedy,kdaj,kur,када,när,เมื่อไร,kailan,Ne zaman,کب,khi
gaan,ذاهب,върви,odlazak,passeig,jít,går,gehen,μετάβαση,going ,Irante,yendo,minek,joan,در حال رفتن,menossa,en allant,indo,הולך,odlazak,haladó,անկայուն,pergi,fara,andando,行く,მიდის,жүру,가고 있다,andando,gājiens,Одење,pergi,doorgaan,går,pójście,indo,indo,mergând,идущий,priebežný,šel,duke shkuar,одлазак,gående,กำลังไป,pupunta,giden,جا رہا ہے,đang đi
tyd,وقت,време,vrijeme,temps,čas,tid,Zeit,χρόνος,time ,tempo,tiempo,aeg,denbora,زمان,aika,temps,tempo,זְמַן,vrijeme,idő,ժամանակ,waktu,Tími,tempo,時間,დრო,уақыт,시간,tempo,laiks,време,masa,tijd,tid,czas,tempo,tempo,timp,время,čas,čas,kohë,време,tid,เวลา,oras,zaman,وقت,thời gian
'n,و,an,an,una,An,en,ein,ένα,an ,an,un,ja,-,در,yksi,un,an,AN,an,egy,մի շարք,sebuah,An,UN,an,and,в,an,UN,tāds,ан,An,een,an,jakiś,um,um,un,анонца,a,an,një,ан,en,หนึ่ง,an,BİR,ایک,MỘT
